CompanyName,ContractLength,MonthsSinceSignup,TotalTransactions,AvgTransactionValue,TotalRevenue,ProductUsageFrequency,SupportTicketsOpened,SupportTicketResolutionTime,EmailOpenRate,AccountManagerCalls,ChurnStatus
TechCorp,24,10,50,100,5000,Daily,2,1,0.8,5,0
GreenTech,12,8,30,120,3600,Monthly,1,2,0.6,3,0
BlueOcean,36,15,70,90,6300,Weekly,3,3,0.9,6,0
PurpleInc,18,12,45,110,4950,Daily,4,4,0.7,4,0
RedWave,24,18,60,85,5100,Weekly,5,5,0.5,2,0
YellowStar,12,6,20,150,3000,Monthly,2,6,0.4,1,1
OrangeSun,36,24,80,80,6400,Daily,6,7,0.3,1,1
BlackForest,18,9,35,130,4550,Weekly,1,8,0.2,0,1
WhiteMountain,24,11,55,95,5225,Monthly,3,9,0.1,0,1
GreyRiver,12,7,25,140,3500,Daily,4,10,0.9,5,0
BrownHill,36,19,75,70,5250,Weekly,7,11,0.6,3,0
SilverLake,18,13,40,125,5000,Monthly,5,12,0.8,4,0
GoldCoast,24,14,65,85,5525,Daily,8,13,0.5,2,0
BronzeIsland,12,5,15,160,2400,Weekly,3,14,0.7,1,1
CopperBay,36,22,90,65,5850,Monthly,9,15,0.4,0,1
IronCliff,18,10,38,135,5130,Daily,6,16,0.3,0,1
ZincRidge,24,17,58,90,5220,Weekly,10,17,0.2,0,1
TinHill,12,4,22,145,3180,Monthly,5,18,0.1,0,1
LeadMountain,36,20,82,60,4920,Daily,11,19,0.9,5,0
BismuthRiver,18,14,42,120,5040,Weekly,12,20,0.6,3,0
PoloniumHill,24,16,62,80,4960,Monthly,13,21,0.5,2,0
NovaTech,20,15,45,110,4950,Daily,7,11,0.85,3,0
EclipseInc,22,18,50,115,5775,Weekly,9,12,0.95,4,0
ApexCorp,28,21,75,100,7500,Monthly,14,13,0.65,1,0
PulseCo,30,23,85,105,8955,Daily,16,14,0.8,2,0
LuminaGroup,32,25,95,110,10450,Weekly,18,15,0.75,3,0
SpectraPro,34,27,105,115,12075,Monthly,20,16,0.7,1,0
ParagonSystems,36,29,115,120,13800,Daily,22,17,0.85,4,0
FusionTech,38,31,125,125,15625,Weekly,24,18,0.9,2,0
VelocityInc,40,33,135,130,17650,Monthly,26,19,0.75,1,0
HorizonCorp,18,12,35,140,4900,Daily,8,10,0.25,0,1
RiseGroup,20,14,45,145,6555,Weekly,10,11,0.3,0,1
ApexSystems,12,6,20,150,3000,Monthly,6,12,0.4,0,1
PulsePro,14,8,30,155,4650,Daily,8,13,0.5,0,1
LuminaTech,16,10,40,160,6400,Weekly,10,14,0.6,0,1
SpectraSystems,18,12,50,165,8225,Monthly,12,15,0.7,0,1
ParagonPro,20,14,60,170,10200,Daily,14,16,0.8,0,1
FusionInc,22,16,70,175,12250,Weekly,16,17,0.85,0,1
VelocityPro,24,18,80,180,14400,Monthly,18,18,0.9,0,1
HorizonTech,12,11,30,190,5700,Daily,9,9,0.2,0,1
RiseSystems,14,13,40,195,7800,Weekly,11,10,0.25,0,1
ApexGroup,16,15,50,200,10000,Monthly,13,11,0.3,0,1
PulseTech,18,17,60,205,12300,Daily,15,12,0.35,0,1
LuminaPro,20,19,70,210,14700,Weekly,17,13,0.4,0,1
SpectraGroup,22,21,80,215,17200,Monthly,19,14,0.45,0,1
ParagonTech,24,23,90,220,19800,Daily,21,15,0.5,0,1
FusionGroup,26,25,100,225,22500,Weekly,23,16,0.55,0,1
VelocityGroup,28,27,110,230,25350,Monthly,25,17,0.6,0,1
Innovatech,30,29,120,235,28200,Daily,27,18,0.65,0,1
ElevateSystems,32,31,130,240,31200,Weekly,29,19,0.7,0,0
NexusPro,34,33,140,245,34300,Monthly,31,20,0.75,1,0
PinnacleTech,36,35,150,250,37500,Daily,33,21,0.8,2,0
SynergyGroup,38,37,160,255,40800,Weekly,35,22,0.85,3,0
AspireSystems,40,39,170,260,44200,Monthly,37,23,0.9,4,0
CoreTech,42,41,180,265,47700,Daily,39,24,0.95,5,0
ApexPro,44,43,190,270,51300,Weekly,41,25,1,6,0
ExcelerateGroup,46,45,200,275,55000,Monthly,43,26,1.05,7,0
ProsperTech,48,47,210,280,58800,Daily,45,27,1.1,8,0
NexaPro,50,49,220,285,62700,Weekly,47,28,1.15,9,0
ExceleratePro,52,51,230,290,66600,Monthly,49,29,1.2,10,0
ApexPro,54,53,240,295,70800,Daily,51,30,1.25,11,0
ProsperTech,56,55,250,300,75000,Weekly,53,31,1.3,12,0
NexaPro,58,57,260,305,79300,Monthly,55,32,1.35,13,0
ExceleratePro,60,59,270,310,83700,Daily,57,33,1.4,14,0
ApexPro,62,61,280,315,88200,Weekly,59,34,1.45,15,0
ProsperTech,64,63,290,320,92800,Monthly,61,35,1.5,16,0
NexaPro,66,65,300,325,97500,Daily,63,36,1.55,17,0
ExceleratePro,68,67,310,330,102300,Weekly,65,37,1.6,18,0
ApexPro,70,69,320,335,107700,Monthly,67,38,1.65,19,0
ProsperTech,72,71,330,340,113100,Daily,69,39,1.7,20,0
NexaPro,74,73,340,345,118500,Weekly,71,40,1.75,21,0
ExceleratePro,76,75,350,350,123900,Monthly,73,41,1.8,22,0
FuturaCorp,48,47,240,290,69840,Weekly,54,30,0.45,10,1
OmniPro,50,49,250,295,73925,Monthly,56,31,0.4,11,1
PinnacleTech,52,51,260,300,78000,Daily,58,32,0.35,12,1
TerraCorp,54,53,270,305,82425,Weekly,60,33,0.3,13,1
NovaPro,12,11,200,280,56000,Monthly,50,28,1.25,8,1
ZenithTech,14,13,220,290,63800,Daily,52,29,1.2,9,1
LuminaCorp,16,15,240,300,72000,Weekly,54,30,1.15,10,1
AuroraPro,18,17,260,310,80600,Monthly,56,31,1.1,11,1
SynergyTech,20,19,280,320,89600,Daily,58,32,1.05,12,1
CatalystCorp,22,21,300,330,99600,Weekly,60,33,1,13,1
ImpactPro,24,23,320,340,109600,Monthly,62,34,0.95,14,1
ElevateTech,26,25,340,350,119000,Daily,64,35,0.9,15,1
VantageCorp,28,27,360,360,129600,Weekly,66,36,0.85,16,1
PulsePro,30,29,380,370,141200,Monthly,68,37,0.8,17,1
AspireTech,32,31,400,380,152800,Daily,70,38,0.75,18,1
SpectraCorp,34,33,420,390,164400,Weekly,72,39,0.7,19,1
FluxPro,36,35,440,400,176000,Monthly,74,40,0.65,20,1
ApexionTech,38,37,460,410,188600,Daily,76,41,0.6,21,1
EonCorp,40,39,480,420,201600,Weekly,78,42,0.55,22,1
NexusPro,42,41,500,430,215500,Monthly,80,43,0.5,23,1
ParagonTech,44,43,520,440,229600,Daily,82,44,0.45,24,1
VoyagerCorp,46,45,540,450,243800,Weekly,84,45,0.4,25,1
HorizonPro,48,47,560,460,258000,Monthly,86,46,0.35,26,1
PinnaclePro,10,9,180,250,45000,Daily,48,27,1.25,7,1
ApexPro,8,7,160,240,38400,Weekly,46,26,1.2,6,1
ExceleratePro,6,5,140,230,32200,Monthly,44,25,1.15,5,1
NexaPro,4,3,120,220,26400,Daily,42,24,1.1,4,1
OmniaTech,50,49,580,470,272600,Weekly,88,47,0.38,27,1